nivel_ruido,gases_toxicos,horas_turno,iluminacao,epis_usado,setor,clima,risco
73.0,14.920324255629497,10.0,968.0,não,soldagem,moderado,alto
97.0,8.786749121369297,9.0,955.0,sim,pintura,frio,alto
97.0,,8.0,969.0,sim,pintura,moderado,alto
118.0,8.959772301264252,9.0,434.0,sim,soldagem,moderado,alto
113.0,45.39961910160127,11.0,841.0,não,pintura,moderado,alto
96.0,36.186634471651004,9.0,591.0,sim,montagem,quente,alto
90.0,8.566541607644718,11.0,451.0,não,,quente,alto
104.0,44.84086909101925,6.0,333.0,sim,montagem,quente,alto
109.0,12.340484805194501,10.0,207.0,não,soldagem,frio,alto
84.0,12.79075520854256,9.0,944.0,sim,,moderado,baixo
79.0,37.85532635342948,8.0,750.0,não,soldagem,quente,alto
89.0,30.834875010823154,8.0,133.0,sim,pintura,moderado,alto
81.0,41.43115108681306,7.0,901.0,não,soldagem,moderado,alto
92.0,19.7128248711182,10.0,599.0,não,soldagem,moderado,alto
85.0,36.32777366779179,9.0,282.0,não,montagem,moderado,alto
84.0,27.581388482832146,11.0,853.0,não,soldagem,frio,alto
,25.934988219619683,7.0,684.0,não,soldagem,quente,alto
110.0,,11.0,126.0,sim,pintura,frio,alto
108.0,45.59363434477097,8.0,589.0,não,soldagem,moderado,alto
101.0,31.46324483329109,10.0,385.0,sim,pintura,quente,alto
103.0,27.259533215939957,8.0,262.0,não,montagem,quente,alto
104.0,49.233762315152504,9.0,742.0,sim,montagem,quente,alto
77.0,41.44767453658436,6.0,251.0,não,pintura,moderado,alto
116.0,,10.0,860.0,sim,montagem,frio,alto
77.0,11.90695978948485,7.0,139.0,sim,pintura,quente,baixo
119.0,21.8468273722872,7.0,384.0,sim,montagem,moderado,alto
108.0,22.097290820797884,6.0,943.0,não,montagem,moderado,alto
104.0,47.66491899995937,7.0,520.0,sim,montagem,moderado,alto
75.0,15.04689590400753,6.0,119.0,sim,soldagem,moderado,baixo
96.0,48.50423058147184,11.0,869.0,sim,soldagem,moderado,alto
89.0,1.6491596653563312,10.0,299.0,não,montagem,quente,alto
89.0,45.205807324049545,9.0,755.0,não,soldagem,frio,alto
86.0,31.874866425292282,11.0,223.0,não,soldagem,quente,alto
77.0,20.478795078294432,9.0,638.0,não,montagem,frio,alto
,49.51203087999998,11.0,260.0,não,montagem,frio,alto
113.0,49.89481986951846,11.0,699.0,sim,soldagem,quente,alto
76.0,20.995334980782097,10.0,653.0,sim,,frio,baixo
108.0,9.66793645290876,11.0,432.0,não,montagem,moderado,alto
70.0,22.836495404048346,7.0,826.0,não,pintura,frio,alto
,41.64191671359226,6.0,319.0,não,soldagem,moderado,alto
119.0,35.20942698872072,10.0,367.0,sim,montagem,quente,alto
104.0,2.9496717358382494,10.0,101.0,sim,pintura,frio,alto
86.0,11.139754030244086,9.0,600.0,sim,,quente,baixo
80.0,23.29722898663181,10.0,982.0,não,pintura,quente,alto
103.0,47.92272841502076,8.0,560.0,não,pintura,quente,alto
105.0,30.839787084114267,10.0,369.0,não,soldagem,moderado,alto
70.0,2.5330221496912664,6.0,274.0,não,montagem,moderado,baixo
111.0,19.17831394100329,10.0,782.0,não,montagem,quente,alto
92.0,45.338219662861995,6.0,765.0,não,montagem,quente,alto
116.0,25.29668038566098,11.0,633.0,sim,montagem,frio,alto
79.0,,9.0,325.0,sim,montagem,frio,baixo
85.0,29.92388529405543,8.0,,sim,montagem,moderado,baixo
,33.874021812929584,8.0,847.0,sim,pintura,frio,alto
77.0,37.63626065126411,9.0,307.0,não,soldagem,frio,alto
103.0,16.78579204338122,7.0,684.0,não,soldagem,frio,alto
101.0,35.04907255974964,6.0,598.0,sim,soldagem,moderado,alto
105.0,16.008537985259295,8.0,,sim,,moderado,alto
113.0,26.016485306202007,6.0,722.0,não,montagem,moderado,alto
74.0,0.9752401123488408,6.0,783.0,sim,soldagem,frio,baixo
84.0,33.70535083657106,9.0,642.0,sim,montagem,moderado,alto
79.0,18.91777310443019,6.0,668.0,sim,soldagem,quente,baixo
112.0,35.25080042689672,8.0,505.0,não,soldagem,frio,alto
111.0,48.2183164091231,10.0,997.0,sim,montagem,frio,alto
81.0,4.053990465349666,6.0,596.0,não,montagem,quente,baixo
73.0,42.970350561464045,8.0,745.0,não,pintura,moderado,alto
107.0,11.62978326946006,6.0,242.0,não,soldagem,quente,alto
101.0,12.107372010521884,8.0,281.0,sim,pintura,quente,alto
89.0,11.301588946660972,11.0,501.0,sim,soldagem,,baixo
78.0,6.876261084204777,8.0,,sim,soldagem,quente,baixo
77.0,9.80584443541802,7.0,343.0,não,pintura,,alto
82.0,37.11987691839799,11.0,597.0,sim,soldagem,frio,alto
79.0,38.4227212957718,6.0,255.0,,pintura,quente,alto
99.0,48.06260457957551,10.0,126.0,sim,soldagem,quente,alto
118.0,5.188562665180219,9.0,,não,pintura,frio,alto
,7.5288015711478415,6.0,958.0,não,montagem,quente,alto
110.0,44.25699682691104,10.0,638.0,não,montagem,quente,alto
110.0,28.229084641174218,11.0,941.0,sim,soldagem,frio,alto
75.0,27.258699770694445,9.0,719.0,não,pintura,frio,alto
87.0,38.59649040698792,8.0,709.0,sim,montagem,moderado,alto
96.0,27.64854785464405,10.0,707.0,sim,pintura,quente,alto
73.0,3.108507841910668,,495.0,não,pintura,moderado,alto
109.0,44.958604451654615,11.0,829.0,não,soldagem,quente,alto
108.0,6.695807413778304,,340.0,sim,pintura,moderado,alto
116.0,24.007176485246013,11.0,766.0,não,soldagem,moderado,alto
118.0,18.226607485864594,8.0,815.0,sim,montagem,frio,alto
,18.493720503454863,,514.0,sim,pintura,frio,alto
105.0,14.211160637030817,9.0,516.0,não,montagem,quente,alto
73.0,47.85943150685011,7.0,740.0,sim,pintura,moderado,alto
,4.205588076034472,7.0,705.0,sim,montagem,frio,baixo
91.0,40.124255487534136,6.0,339.0,não,montagem,frio,alto
102.0,19.626118838066393,11.0,925.0,não,pintura,quente,alto
81.0,2.6319918182262425,8.0,633.0,não,soldagem,quente,alto
78.0,28.651620570608465,10.0,557.0,não,montagem,moderado,alto
99.0,18.610033226124322,11.0,754.0,não,,moderado,alto
88.0,11.029912204357812,,211.0,não,soldagem,quente,baixo
90.0,18.5206638106618,6.0,106.0,sim,pintura,moderado,baixo
72.0,48.85585916788182,6.0,357.0,não,montagem,quente,alto
,38.29608506909368,9.0,421.0,não,pintura,,alto
80.0,40.997792621094135,9.0,234.0,sim,montagem,quente,
113.0,26.27556673809936,11.0,419.0,sim,pintura,frio,alto
88.0,14.773645946968022,9.0,704.0,,montagem,moderado,baixo
72.0,27.40991176772114,11.0,296.0,não,,moderado,alto
83.0,27.27834165265358,11.0,539.0,sim,pintura,frio,baixo
103.0,7.416298825564654,11.0,231.0,não,,quente,alto
83.0,33.09906288281177,9.0,267.0,não,montagem,moderado,alto
99.0,39.06366019693739,,,não,soldagem,quente,alto
116.0,27.446057724648004,11.0,609.0,não,pintura,frio,alto
79.0,19.84258176141196,9.0,433.0,não,montagem,frio,alto
75.0,31.94239878759663,10.0,720.0,sim,,quente,alto
87.0,26.86444823039233,8.0,420.0,sim,soldagem,frio,baixo
,4.154388543705478,11.0,755.0,não,montagem,quente,
99.0,18.723118610966665,6.0,891.0,sim,soldagem,moderado,alto
73.0,46.31656505268108,7.0,187.0,sim,soldagem,moderado,alto
73.0,3.07551426676399,6.0,869.0,sim,montagem,quente,baixo
74.0,14.191029936492717,11.0,689.0,sim,soldagem,frio,
85.0,42.828384595229366,10.0,690.0,não,pintura,,alto
109.0,0.06676680480636743,9.0,293.0,sim,montagem,moderado,alto
81.0,47.05820938905131,10.0,534.0,sim,pintura,quente,alto
117.0,34.40875350748583,11.0,828.0,não,montagem,frio,alto
73.0,,11.0,,não,montagem,quente,alto
82.0,1.424954702876452,7.0,903.0,não,soldagem,frio,alto
112.0,2.2820195177877975,11.0,980.0,sim,,,alto
98.0,14.778615631378589,6.0,708.0,sim,pintura,moderado,alto
98.0,32.956762838662755,6.0,,não,montagem,frio,alto
98.0,3.363023608904281,11.0,,,soldagem,moderado,alto
107.0,44.082516433942025,11.0,538.0,não,soldagem,moderado,alto
78.0,42.88220375802004,11.0,876.0,não,pintura,frio,alto
82.0,14.258083698879197,8.0,548.0,não,pintura,quente,alto
70.0,9.723292611211793,10.0,984.0,não,montagem,quente,alto
75.0,21.471035851279023,8.0,671.0,não,soldagem,moderado,
80.0,14.116748660724243,9.0,221.0,não,montagem,frio,alto
75.0,47.52044286804662,8.0,590.0,sim,pintura,quente,alto
75.0,29.135210078994056,6.0,173.0,não,pintura,moderado,baixo
72.0,36.804285028808806,6.0,370.0,sim,montagem,frio,alto
89.0,26.530725663270267,6.0,714.0,sim,montagem,quente,baixo
107.0,41.83091079155108,11.0,618.0,sim,soldagem,moderado,alto
106.0,,9.0,912.0,sim,pintura,moderado,alto
89.0,36.134966546841,11.0,420.0,não,soldagem,frio,alto
115.0,38.37855511987384,10.0,690.0,não,montagem,moderado,alto
83.0,18.014236760057816,6.0,,sim,soldagem,frio,
114.0,4.270430902648059,11.0,297.0,não,pintura,moderado,alto
72.0,32.664971999907905,7.0,701.0,não,montagem,moderado,alto
117.0,15.204884870438873,10.0,,sim,soldagem,moderado,alto
113.0,29.18237556422974,8.0,723.0,sim,soldagem,moderado,alto
,44.05101121439674,10.0,289.0,sim,pintura,quente,alto
71.0,41.5985884526879,9.0,961.0,sim,soldagem,frio,alto
77.0,28.79446888484462,9.0,196.0,não,montagem,moderado,alto
78.0,5.429223876255396,10.0,500.0,não,pintura,quente,alto
83.0,22.375176931832158,11.0,289.0,sim,soldagem,quente,baixo
112.0,36.29129352654205,8.0,650.0,sim,pintura,frio,alto
105.0,28.350009050448843,,840.0,não,soldagem,quente,alto
73.0,16.46463258299194,6.0,842.0,não,montagem,frio,baixo
90.0,15.420158846774434,11.0,975.0,não,pintura,quente,alto
89.0,33.92254975122822,,940.0,não,soldagem,quente,alto
93.0,31.58441948492703,8.0,526.0,sim,pintura,frio,alto
96.0,29.612535914391913,11.0,871.0,não,pintura,quente,
98.0,47.60041336137973,11.0,,não,montagem,frio,
80.0,44.74205805476133,8.0,602.0,sim,pintura,frio,alto
116.0,15.700791973018541,6.0,820.0,sim,pintura,quente,alto
71.0,12.448806826171882,10.0,911.0,não,soldagem,quente,alto
74.0,46.136770932584554,8.0,851.0,não,montagem,frio,alto
111.0,10.415315736465391,9.0,,sim,soldagem,moderado,alto
97.0,48.85788100734109,9.0,972.0,não,montagem,quente,alto
116.0,10.772321240444388,9.0,676.0,não,pintura,frio,alto
95.0,5.414020345261905,6.0,914.0,não,soldagem,frio,alto
93.0,19.533518056560446,10.0,877.0,sim,montagem,quente,alto
85.0,45.049440855662155,8.0,592.0,sim,soldagem,,alto
99.0,36.56771671194337,11.0,850.0,sim,montagem,moderado,alto
99.0,29.92955546584053,6.0,632.0,não,soldagem,quente,alto
105.0,35.078251926757495,,923.0,não,pintura,moderado,alto
118.0,26.007914199734916,6.0,731.0,não,pintura,moderado,alto
90.0,15.89133890697141,11.0,323.0,não,montagem,moderado,alto
115.0,24.85002122880707,10.0,321.0,sim,soldagem,quente,alto
100.0,18.989609039369377,6.0,878.0,sim,soldagem,quente,alto
110.0,38.40112874085724,9.0,986.0,sim,soldagem,moderado,alto
104.0,8.33671103716095,9.0,212.0,não,pintura,frio,alto
105.0,22.492727733678926,8.0,247.0,não,montagem,frio,alto
90.0,5.333188012704087,8.0,523.0,não,montagem,quente,alto
110.0,2.164528236286589,10.0,219.0,sim,pintura,quente,alto
113.0,11.623239440728067,8.0,980.0,não,montagem,moderado,alto
115.0,8.052122681624757,7.0,895.0,sim,soldagem,moderado,
108.0,39.092891831293414,6.0,876.0,sim,soldagem,,alto
74.0,8.020376198760193,9.0,913.0,não,pintura,frio,alto
71.0,33.617354956090104,7.0,152.0,não,montagem,moderado,alto
111.0,25.143730413016137,10.0,990.0,sim,soldagem,moderado,alto
111.0,18.056541833319763,,544.0,não,montagem,quente,alto
91.0,3.0836888200033883,,153.0,sim,soldagem,moderado,alto
113.0,20.845515238128158,6.0,375.0,não,montagem,,alto
,28.434940566653584,11.0,745.0,sim,montagem,frio,alto
96.0,5.88511148399356,8.0,918.0,não,soldagem,frio,alto
100.0,45.48193387025166,7.0,866.0,não,montagem,quente,alto
76.0,5.539966005731328,8.0,444.0,sim,soldagem,quente,baixo
88.0,41.52880299185305,11.0,136.0,não,montagem,frio,alto
107.0,39.16233420530133,7.0,554.0,não,soldagem,frio,alto
109.0,,6.0,875.0,sim,montagem,quente,alto
,5.307664606497053,10.0,106.0,sim,montagem,,baixo
110.0,23.009010307079418,10.0,424.0,,soldagem,quente,alto
76.0,15.726171691660234,6.0,283.0,,montagem,frio,baixo
90.0,34.28378925491731,10.0,407.0,não,montagem,moderado,
98.0,9.355785684672869,,676.0,sim,soldagem,quente,alto
107.0,4.4985702125574845,9.0,170.0,sim,pintura,frio,alto
82.0,10.940385941877778,11.0,442.0,sim,soldagem,frio,baixo
80.0,49.59659582557089,8.0,520.0,não,pintura,moderado,alto
110.0,12.75011388851407,11.0,191.0,não,montagem,quente,alto
107.0,14.330523451373933,6.0,328.0,não,montagem,moderado,alto
109.0,36.09280916866252,8.0,467.0,sim,soldagem,frio,alto
104.0,15.587179287350722,10.0,361.0,sim,pintura,moderado,alto
93.0,26.42077143870864,8.0,476.0,não,pintura,quente,alto
107.0,37.542468199594495,6.0,910.0,não,soldagem,frio,alto
103.0,16.742404267618078,8.0,574.0,não,montagem,quente,
108.0,18.03423861837052,6.0,363.0,sim,pintura,moderado,alto
98.0,11.164480435532276,6.0,667.0,sim,pintura,frio,alto
,37.49563297252791,9.0,155.0,não,pintura,quente,alto
104.0,49.64579585505698,9.0,837.0,sim,soldagem,,alto
95.0,3.1189111618704635,11.0,648.0,não,soldagem,quente,alto
92.0,20.35080905993043,8.0,610.0,não,montagem,frio,alto
113.0,17.163032275067437,,424.0,sim,soldagem,moderado,alto
71.0,17.740317578231213,7.0,210.0,não,pintura,quente,alto
,26.211090371270927,11.0,759.0,não,pintura,moderado,alto
75.0,32.93461342162068,,807.0,não,montagem,quente,alto
89.0,24.560895272057515,9.0,118.0,sim,soldagem,frio,baixo
102.0,38.06966714838932,8.0,859.0,sim,soldagem,frio,alto
119.0,3.1638514589369002,9.0,776.0,sim,soldagem,moderado,alto
103.0,40.03676295117952,11.0,676.0,sim,soldagem,moderado,alto
104.0,44.13513470678569,6.0,749.0,não,montagem,quente,alto
77.0,,9.0,235.0,não,pintura,quente,alto
88.0,15.990814052029172,9.0,533.0,sim,montagem,frio,baixo
72.0,23.69243773428596,6.0,795.0,sim,montagem,quente,
98.0,29.77061188112368,6.0,238.0,não,pintura,quente,alto
112.0,39.81485081305647,9.0,488.0,sim,montagem,quente,alto
112.0,39.193557527115495,7.0,409.0,não,montagem,frio,alto
71.0,17.365439028135622,8.0,436.0,não,pintura,moderado,alto
93.0,21.651817616576896,6.0,891.0,sim,pintura,moderado,alto
88.0,38.26364801849657,9.0,227.0,não,soldagem,frio,alto
86.0,21.41775814085617,10.0,975.0,sim,pintura,moderado,baixo
96.0,31.760409838108032,7.0,845.0,,pintura,moderado,alto
,49.34571022559805,8.0,207.0,não,soldagem,frio,alto
,42.029203345788474,7.0,226.0,sim,montagem,moderado,alto
88.0,10.900589702489983,6.0,745.0,sim,soldagem,frio,baixo
110.0,20.592059359170356,11.0,445.0,não,soldagem,quente,alto
117.0,27.262367808471065,6.0,806.0,não,soldagem,quente,alto
103.0,,8.0,398.0,não,,quente,alto
,14.891515280869633,9.0,135.0,sim,montagem,moderado,alto
106.0,45.98547909780948,6.0,666.0,sim,pintura,moderado,alto
100.0,45.49476888254308,10.0,347.0,sim,pintura,moderado,
89.0,8.194732994420505,10.0,491.0,não,pintura,frio,
,46.486812881374505,9.0,236.0,sim,pintura,frio,alto
76.0,22.26999092856402,10.0,219.0,sim,montagem,quente,baixo
82.0,21.910813121961393,10.0,794.0,sim,pintura,moderado,baixo
113.0,9.137087959840379,11.0,783.0,não,montagem,moderado,alto
107.0,4.194972888604625,7.0,311.0,sim,montagem,moderado,alto
76.0,12.423350129340843,7.0,968.0,não,pintura,quente,alto
80.0,44.004015089172185,10.0,754.0,não,soldagem,frio,alto
114.0,20.349677815049144,,497.0,sim,soldagem,moderado,alto
113.0,45.981032735023994,10.0,974.0,sim,pintura,frio,alto
119.0,29.985601841257008,,590.0,não,soldagem,moderado,alto
96.0,0.41171903796727305,6.0,242.0,não,montagem,quente,alto
82.0,16.541339242948418,9.0,467.0,sim,,moderado,baixo
77.0,6.37927514645758,6.0,591.0,não,pintura,quente,baixo
109.0,37.274701742798314,8.0,200.0,não,pintura,moderado,alto
116.0,33.85094114264515,8.0,659.0,não,montagem,quente,alto
73.0,11.424883621004339,9.0,696.0,não,montagem,quente,alto
85.0,10.428706790179703,9.0,331.0,não,soldagem,frio,alto
117.0,45.12469745196928,10.0,299.0,sim,pintura,frio,alto
,5.8693559162736,9.0,377.0,não,pintura,frio,alto
75.0,1.6505265942620029,10.0,402.0,não,soldagem,quente,alto
117.0,18.313245708287006,11.0,864.0,sim,soldagem,frio,alto
77.0,28.189729643235644,6.0,329.0,não,soldagem,quente,baixo
106.0,,,,não,montagem,moderado,alto
86.0,45.577368826917166,7.0,617.0,não,pintura,quente,alto
98.0,6.980206114504689,6.0,662.0,não,soldagem,frio,alto
75.0,39.348128787774364,8.0,,sim,montagem,frio,alto
98.0,46.72213683550337,11.0,612.0,sim,montagem,quente,alto
106.0,41.67618026000524,7.0,643.0,sim,soldagem,frio,alto
84.0,20.711306446317362,7.0,953.0,não,pintura,frio,alto
72.0,10.387569016131188,9.0,347.0,sim,pintura,quente,baixo
112.0,45.77896546449734,11.0,739.0,não,montagem,frio,alto
80.0,26.600987852346663,6.0,852.0,sim,soldagem,frio,baixo
106.0,12.65762503464477,,667.0,não,soldagem,quente,alto
83.0,16.17600680365611,7.0,176.0,sim,pintura,frio,baixo
89.0,28.08633168767265,6.0,850.0,não,pintura,quente,baixo
119.0,20.31053795584978,11.0,911.0,sim,soldagem,frio,alto
86.0,2.0013529887281614,7.0,264.0,não,montagem,frio,
72.0,28.719057309743174,8.0,870.0,não,montagem,moderado,alto
102.0,20.292234115496704,7.0,169.0,não,pintura,frio,alto
104.0,23.672485860233227,7.0,,sim,pintura,frio,alto
99.0,37.633525148259785,10.0,120.0,sim,,quente,alto
109.0,1.2843327778805258,8.0,350.0,sim,soldagem,frio,alto
81.0,3.2853752679102177,8.0,952.0,sim,pintura,frio,baixo
103.0,0.05155642232128055,8.0,274.0,não,montagem,moderado,alto
76.0,21.234248373660318,9.0,130.0,sim,montagem,moderado,baixo
118.0,14.023091659155018,9.0,497.0,não,montagem,frio,alto
98.0,20.472711966065322,7.0,235.0,não,pintura,frio,alto
111.0,,8.0,319.0,não,montagem,moderado,alto
112.0,0.41603809094999944,10.0,141.0,sim,pintura,frio,alto
93.0,7.921224451854586,7.0,259.0,sim,montagem,,alto
100.0,6.384171604139432,11.0,115.0,não,pintura,frio,alto
71.0,31.058476703081077,8.0,592.0,não,soldagem,frio,alto
80.0,29.559924115377378,8.0,776.0,não,montagem,moderado,alto
77.0,3.8773946373479196,9.0,322.0,sim,montagem,frio,baixo
,40.0776379611633,8.0,649.0,não,soldagem,quente,alto
,8.049521573632429,10.0,110.0,não,montagem,quente,
112.0,8.651760018623762,8.0,209.0,sim,soldagem,moderado,alto
,20.13647734877773,10.0,996.0,sim,soldagem,moderado,
116.0,16.598159057872465,7.0,,sim,pintura,frio,alto
78.0,48.252756235321684,9.0,152.0,não,pintura,frio,alto
76.0,45.36570229224382,8.0,458.0,sim,soldagem,quente,alto
95.0,2.5421723311451094,7.0,793.0,sim,pintura,quente,alto
108.0,19.599369001236223,8.0,980.0,sim,soldagem,frio,alto
111.0,39.179028821839175,8.0,894.0,sim,pintura,quente,alto
90.0,31.46372044209486,6.0,244.0,não,pintura,moderado,alto
89.0,38.58326689351168,,178.0,não,montagem,quente,alto
105.0,20.356052428267606,9.0,101.0,sim,,moderado,alto
75.0,19.445654634001514,9.0,625.0,sim,montagem,frio,baixo
85.0,38.35920176166809,11.0,736.0,sim,pintura,quente,alto
104.0,14.599015258969434,7.0,137.0,não,montagem,moderado,alto
103.0,,7.0,731.0,não,montagem,frio,alto
115.0,44.51650584420355,6.0,355.0,sim,pintura,moderado,alto
70.0,47.304751220889415,10.0,862.0,sim,montagem,frio,alto
94.0,30.575978577947033,,776.0,não,montagem,quente,alto
108.0,36.84605632545181,10.0,955.0,não,pintura,quente,alto
72.0,34.47998019228204,6.0,707.0,sim,soldagem,,alto
72.0,,,801.0,não,,quente,alto
74.0,30.013410184122524,10.0,633.0,não,soldagem,frio,alto
90.0,27.01192016932607,10.0,239.0,não,montagem,quente,alto
,5.6692848723610245,9.0,814.0,não,pintura,frio,alto
87.0,15.940997099450444,11.0,468.0,não,pintura,quente,alto
107.0,0.8653923996967128,7.0,192.0,não,pintura,quente,alto
,3.854049001282628,8.0,742.0,não,montagem,quente,alto
85.0,25.416014544541316,8.0,,sim,soldagem,quente,baixo
101.0,8.89066604091287,9.0,374.0,não,pintura,moderado,
82.0,17.86243053069902,7.0,134.0,sim,pintura,moderado,baixo
79.0,41.85185622485505,11.0,941.0,não,pintura,,alto
72.0,4.346968724675204,9.0,109.0,não,soldagem,frio,alto
82.0,41.59288418035719,6.0,493.0,não,montagem,frio,alto
99.0,44.72967865042508,10.0,820.0,não,soldagem,moderado,alto
,15.927588492691052,8.0,314.0,sim,soldagem,moderado,alto
104.0,22.764113905137545,7.0,624.0,sim,soldagem,moderado,alto
112.0,20.607223183149713,10.0,114.0,sim,montagem,quente,alto
74.0,7.223233958291281,9.0,747.0,sim,pintura,moderado,baixo
111.0,4.699973725586693,6.0,810.0,não,soldagem,moderado,alto
89.0,,8.0,585.0,sim,montagem,moderado,
82.0,28.34889994251703,9.0,252.0,sim,montagem,moderado,baixo
92.0,24.42304772092388,7.0,474.0,sim,soldagem,frio,alto
112.0,34.01623925779684,9.0,420.0,não,pintura,frio,
80.0,23.80026401680248,,159.0,sim,montagem,frio,
95.0,,6.0,161.0,não,,quente,alto
77.0,30.2579529633903,6.0,140.0,não,soldagem,frio,alto
100.0,11.314912736734566,6.0,256.0,não,montagem,frio,alto
101.0,43.80638415646463,9.0,358.0,não,pintura,moderado,
81.0,43.03155655613588,10.0,255.0,não,montagem,quente,alto
79.0,18.505964327115933,8.0,442.0,sim,soldagem,moderado,baixo
90.0,9.460386702877788,8.0,434.0,,pintura,quente,baixo
103.0,38.92160317966852,11.0,149.0,não,montagem,moderado,alto
86.0,2.9906795905371153,10.0,,não,pintura,frio,alto
98.0,21.39678280183357,,121.0,sim,montagem,quente,alto
71.0,22.98304413060829,,764.0,,soldagem,frio,baixo
88.0,31.454714491383644,,264.0,não,montagem,moderado,alto
95.0,13.56999571407131,10.0,109.0,não,pintura,moderado,alto
110.0,17.742980976834925,9.0,307.0,,pintura,frio,alto
81.0,47.66785584714783,8.0,657.0,não,pintura,quente,alto
100.0,43.647252037920104,9.0,766.0,não,soldagem,moderado,alto
101.0,19.090436129832668,8.0,514.0,,montagem,frio,alto
99.0,48.34571660488698,8.0,757.0,sim,montagem,frio,alto
108.0,3.1112896270868715,7.0,,sim,pintura,moderado,alto
86.0,15.212984676937518,6.0,677.0,sim,soldagem,frio,baixo
105.0,35.53361998241434,11.0,568.0,não,montagem,moderado,alto
76.0,30.013821579271603,7.0,882.0,sim,montagem,frio,alto
114.0,26.26719608258839,6.0,400.0,não,soldagem,frio,alto
104.0,38.50840336477258,8.0,418.0,não,soldagem,,alto
86.0,48.868419837809604,11.0,719.0,sim,montagem,frio,alto
94.0,34.85387910286718,9.0,562.0,não,soldagem,moderado,alto
107.0,21.63573420206461,6.0,516.0,não,soldagem,quente,alto
90.0,34.150664212070495,9.0,902.0,sim,pintura,moderado,alto
72.0,26.423288377458682,,137.0,não,pintura,,alto
117.0,31.63444105004003,9.0,750.0,não,pintura,frio,alto
71.0,33.630883247400924,8.0,612.0,sim,montagem,quente,alto
,49.67806127471906,,155.0,sim,,frio,
115.0,24.82200673693175,9.0,888.0,sim,soldagem,moderado,alto
105.0,38.210334055145964,9.0,857.0,não,soldagem,moderado,alto
73.0,47.5046020959224,11.0,638.0,sim,pintura,moderado,alto
77.0,11.003382550783058,9.0,437.0,não,soldagem,quente,alto
82.0,19.157931576241193,11.0,836.0,sim,pintura,frio,baixo
95.0,27.808463722366746,8.0,996.0,sim,montagem,quente,alto
83.0,19.731288279268316,8.0,695.0,não,soldagem,frio,alto
110.0,,9.0,768.0,não,pintura,moderado,
76.0,8.296482349147476,6.0,624.0,,pintura,frio,baixo
84.0,47.32410854525024,6.0,718.0,não,soldagem,moderado,alto
,18.844080491258946,8.0,793.0,não,montagem,frio,alto
74.0,45.74171322623292,6.0,788.0,não,soldagem,frio,alto
118.0,47.88763921909722,9.0,778.0,não,pintura,quente,alto
97.0,9.82478346023275,7.0,202.0,sim,pintura,quente,alto
83.0,28.212815953126224,10.0,325.0,sim,montagem,quente,baixo
82.0,38.08533681091979,9.0,442.0,não,montagem,quente,alto
117.0,1.708417801584966,11.0,467.0,sim,pintura,moderado,alto
93.0,20.10963733341264,10.0,304.0,sim,montagem,moderado,alto
95.0,20.722782459574685,7.0,995.0,não,pintura,quente,
74.0,33.273335633554815,9.0,421.0,não,pintura,quente,alto
,26.081885125254555,10.0,511.0,,pintura,quente,alto
